numer_sta,date,pmer,tend,cod_tend,dd,ff,t,td,u,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,pres,niv_bar,geop,tend24,tn12,tn24,tx12,tx24,tminsol,sw,tw,raf10,rafper,per,etat_sol,ht_neige,ssfrai,perssfrai,rr1,rr3,rr6,rr12,rr24,phenspe1,phenspe2,phenspe3,phenspe4,nnuage1,ctype1,hnuage1,nnuage2,ctype2,hnuage2,nnuage3,ctype3,hnuage3,nnuage4,ctype4,hnuage4,Column1
7577,2.02E+13,101450,40,1,40,1.9,282.65,277.05,68,20000,0,mq,mq,mq,mq,mq,mq,mq,mq,100550,mq,mq,-310,mq,mq,mq,mq,283.35,mq,mq,3.8,3.8,-10,0,0,mq,mq,0,0,0,0,0,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7591,2.02E+13,mq,0,0,360,2.7,277.15,275.05,86,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,91190,mq,mq,-480,mq,276.95,mq,287.85,mq,mq,mq,mq,mq,mq,mq,0,mq,mq,0,0,3.4,5.6,5.8,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7607,2.02E+13,102040,-10,0,260,4.1,284.55,281.55,82,13370,0,mq,mq,90,7,800,mq,mq,mq,101320,mq,mq,540,mq,mq,mq,mq,287.15,mq,mq,6.6,8.9,-10,mq,0,mq,mq,0,0,0,0,0.2,mq,mq,mq,mq,3,mq,750,7,mq,930,mq,mq,mq,mq,mq,mq,
7621,2.02E+13,102130,-50,6,260,4.3,283.95,278.05,67,32590,0,mq,mq,90,1,800,mq,mq,mq,97790,mq,mq,560,mq,mq,mq,mq,283.35,mq,mq,7.1,13.4,-10,0,0,mq,mq,-0.1,-0.1,-0.1,0.2,0.2,mq,mq,mq,mq,1,mq,840,3,mq,1860,7,mq,2160,mq,mq,mq,
7627,2.02E+13,102100,-10,4,310,2.4,284.15,276.95,61,20000,0,mq,mq,100,1,1250,mq,mq,mq,97170,mq,mq,470,mq,mq,mq,mq,283.75,mq,mq,5.3,6.7,-10,0,0,mq,mq,0,0,-0.1,0.4,2.2,mq,mq,mq,mq,1,mq,1440,6,mq,1920,8,mq,2460,mq,mq,mq,
7630,2.02E+13,102000,10,0,260,5.8,284.65,280.15,74,18210,0,mq,mq,mq,3,1250,mq,mq,mq,100190,mq,mq,440,mq,mq,mq,mq,283.05,mq,mq,9.9,10.5,-10,0,0,mq,mq,0,0,0,-0.1,-0.1,mq,mq,mq,mq,1,mq,1110,3,mq,1380,5,mq,1680,mq,mq,mq,
7643,2.02E+13,101600,40,3,280,6.2,286.55,276.65,51,45000,0,mq,mq,mq,mq,mq,mq,mq,mq,101500,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,10.8,-10,mq,0,mq,mq,mq,0,0,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7650,2.02E+13,101520,0,0,240,6,285.95,279.35,64,47030,0,mq,mq,mq,1,4080,mq,mq,mq,101130,mq,mq,-290,mq,mq,mq,mq,283.65,mq,mq,8.4,8.8,-10,0,0,mq,mq,0,0,0,0,0,mq,mq,mq,mq,1,mq,4080,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7661,2.02E+13,mq,mq,mq,320,14.3,mq,mq,mq,mq,0,0,mq,0,0,mq,30,20,10,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,18.4,18.6,-10,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7690,2.02E+13,100770,-60,8,260,9.8,289.45,273.95,35,40000,2,0,0,0,0,mq,30,20,10,100460,mq,mq,-1110,mq,mq,mq,mq,285.65,mq,mq,13.7,15.6,-10,0,0,mq,mq,0,0,0,0,0,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
